"Year","Afghanistan","Albania","Algeria","Andorra","Angola","Anguilla","Antigua and Barbuda","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bonaire, Saint Eustatius and Saba","Bosnia and Herzegovina","Botswana","Brazil","British Virgin Islands","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cambodia","Canada","Cape Verde","Central African Republic","Chad","Chile","China","Colombia","Comoros","Congo","Cook Islands","Costa Rica","Côte d'Ivoire","Croatia","Cuba","Curaçao","Cyprus","Czech Republic","North Korea","Democratic Republic of the Congo","Denmark","Djibouti","Dominica","Dominican Republic","Ecuador","Egypt","El Salvador","Equatorial Guinea","Eritrea","Estonia","Ethiopia","Faeroe Islands","Micronesia (Federated States of)","Fiji","Finland","France","French Guiana","French Polynesia","Gabon","Gambia","Georgia","Germany","Ghana","Greece","Greenland","Grenada","Guadeloupe","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Honduras","Hong Kong","Hungary","Iceland","India","Indonesia","Iraq","Ireland","Iran","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Kosovo","Kuwait","Kyrgyzstan","Laos","Latvia","Lebanon","Lesotho","Liberia","Libya","Liechtenstein","Lithuania","Luxembourg","Macao","North Macedonia","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Martinique","Mauritania","Mauritius","Mexico","Mongolia","Montenegro","Montserrat","Morocco","Mozambique","Myanmar","Namibia","Nauru","Nepal","Netherlands","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","Niue","Norway","Occupied Palestinian Territory","Oman","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Bolivia","Poland","Portugal","Qatar","Cameroon","South Korea","Moldova","South Sudan","Sudan","Réunion","Romania","Russia","Rwanda","Saint Helena","Saint Lucia","Sint Maarten (Dutch part)","Samoa","Sao Tome and Principe","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Slovakia","Slovenia","Solomon Islands","Somalia","South Africa","Spain","Sri Lanka","Saint Kitts and Nevis","Saint Pierre and Miquelon","Saint Vincent and the Grenadines","Suriname","Swaziland","Sweden","Switzerland","Syria","Taiwan","Tajikistan","Thailand","Timor-Leste","Togo","Tonga","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","Turks and Caicos Islands","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","Tanzania","USA","Uruguay","Uzbekistan","Vanuatu","Venezuela","Viet Nam","Wallis and Futuna Islands","Yemen","Zambia","Zimbabwe","Global"
1880,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,0.17,,,,,,,,,,
1881,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,0.21,,,,,,,,,,
1882,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,0.27,,,,,,,,,,
1883,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,0.35,,,,,,,,,,
1884,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,0.33,,,,,,,,,,
1885,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,0.34,,,,,,,,,,
1886,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,0.37,,,,,,,,,,
1887,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,0.55,,,,,,,,,,
1888,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,0.54,,,,,,,,,,
1889,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,0.58,,,,,,,,,,
